CH1[V],CH2[A],Power
3.28E+00,5.72E+00,1.88E+01
3.28E+00,5.77E+00,1.89E+01
3.28E+00,5.80E+00,1.90E+01
3.25E+00,5.91E+00,1.92E+01
3.20E+00,5.98E+00,1.91E+01
3.19E+00,6.03E+00,1.92E+01
3.17E+00,6.07E+00,1.92E+01
3.11E+00,6.19E+00,1.93E+01
3.13E+00,6.20E+00,1.94E+01
3.03E+00,6.26E+00,1.90E+01
3.02E+00,6.26E+00,1.89E+01
3.00E+00,6.26E+00,1.88E+01
2.94E+00,6.26E+00,1.84E+01
2.94E+00,6.26E+00,1.84E+01
2.92E+00,6.26E+00,1.83E+01
2.89E+00,6.26E+00,1.81E+01
2.83E+00,6.26E+00,1.77E+01
2.84E+00,6.26E+00,1.78E+01
2.78E+00,6.26E+00,1.74E+01
2.73E+00,6.26E+00,1.71E+01
2.66E+00,6.26E+00,1.66E+01
2.58E+00,6.26E+00,1.61E+01
2.52E+00,6.26E+00,1.57E+01
2.50E+00,6.26E+00,1.56E+01
2.38E+00,6.26E+00,1.49E+01
2.20E+00,6.26E+00,1.38E+01
2.16E+00,6.26E+00,1.35E+01
2.13E+00,6.26E+00,1.33E+01
2.05E+00,6.26E+00,1.28E+01
1.97E+00,6.26E+00,1.23E+01
1.91E+00,6.26E+00,1.19E+01
1.83E+00,6.26E+00,1.14E+01
1.84E+00,6.26E+00,1.15E+01
1.81E+00,6.26E+00,1.13E+01
1.73E+00,6.26E+00,1.09E+01
1.73E+00,6.26E+00,1.09E+01
1.75E+00,6.26E+00,1.09E+01
1.77E+00,6.26E+00,1.10E+01
1.75E+00,6.26E+00,1.09E+01
1.75E+00,6.26E+00,1.09E+01
1.66E+00,6.26E+00,1.04E+01
1.67E+00,6.26E+00,1.05E+01
1.59E+00,6.26E+00,9.97E+00
1.45E+00,6.26E+00,9.09E+00
1.44E+00,6.26E+00,8.99E+00
1.36E+00,6.26E+00,8.50E+00
1.30E+00,6.26E+00,8.11E+00
1.28E+00,6.26E+00,8.02E+00
1.19E+00,6.26E+00,7.43E+00
1.05E+00,6.26E+00,6.55E+00
1.05E+00,6.26E+00,6.55E+00
1.05E+00,6.26E+00,6.55E+00
1.00E+00,6.26E+00,6.26E+00
9.84E-01,6.26E+00,6.16E+00
9.22E-01,6.26E+00,5.77E+00
8.91E-01,6.26E+00,5.57E+00
8.28E-01,6.26E+00,5.18E+00
7.66E-01,6.26E+00,4.79E+00
7.50E-01,6.26E+00,4.69E+00
6.72E-01,6.26E+00,4.20E+00
5.78E-01,6.26E+00,3.62E+00
5.78E-01,6.26E+00,3.62E+00
5.16E-01,6.26E+00,3.23E+00
4.22E-01,6.26E+00,2.64E+00
4.38E-01,6.26E+00,2.74E+00
3.59E-01,6.26E+00,2.25E+00
2.81E-01,6.26E+00,1.76E+00
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
1.25E-01,6.26E+00,7.82E-01
9.38E-02,6.26E+00,5.87E-01
6.25E-02,6.26E+00,3.91E-01
7.81E-02,6.26E+00,4.89E-01
7.81E-02,6.26E+00,4.89E-01
7.81E-02,6.26E+00,4.89E-01
6.25E-02,6.26E+00,3.91E-01
6.25E-02,6.26E+00,3.91E-01
4.69E-02,6.26E+00,2.93E-01
7.81E-02,6.26E+00,4.89E-01
6.25E-02,6.26E+00,3.91E-01
7.81E-02,6.26E+00,4.89E-01
